skuid,skuPartNumber,skuDisplayName
45bc2c81-6072-436a-9b0b-3b12eefbc402,POWER_BI_ADDON,POWER BI FOR OFFICE 365 ADD-ON
,POWER_BI_INDIVIDUAL_USE,Power BI Individual User
f8a1db68-be16-40ed-86d5-cb42ce701560,POWER_BI_PRO,POWER BI PRO
,POWER_BI_STANDALONE,Power BI Stand Alone
a403ebcc-fae0-4ca2-8c8c-7a907fd6c235,POWER_BI_STANDARD,Power BI (free)
874fc546-6efe-4d22-90b8-5c4e7aa59f4b,POWERAPPS_DYN_APPS,POWERAPPS FOR DYNAMICS 365
0b03f40b-c404-40c3-8651-2aceb74365fa,POWERAPPS_DYN_P2,POWERAPPS FOR DYNAMICS 365
52e619e2-2730-439a-b0d3-d09ab7e8b705,POWERAPPS_DYN_TEAM,POWERAPPS FOR DYNAMICS 365
87bbbc60-4754-4998-8c88-227dca264858,POWERAPPS_INDIVIDUAL_USER,PowerApps and Logic Flows
92f7a6f3-b89b-4bbd-8c30-809e6da5ad1c,POWERAPPS_O365_P1,POWERAPPS FOR OFFICE 365
c68f8d98-5534-41c8-bf36-22fa496fa792,POWERAPPS_O365_P2,POWERAPPS FOR OFFICE
9c0dab89-a30c-4117-86e7-97bda240acd2,POWERAPPS_O365_P3,PowerApps for Office 365 Plan 3
e0287f9f-e222-4f98-9a83-f379e249159a,POWERAPPS_O365_S1,POWERAPPS FOR OFFICE 365 K1
,POWERAPPS_VIRAL,Microsoft PowerApps Plan 2 Trial
dcb1a3ae-b33f-4487-846a-a640262fadf4,POWERAPPS_VIRAL,Microsoft PowerApps Plan 2 Trial
ddfae3e3-fcb2-4174-8ebd-3023cb213c8b,POWERFLOW_P2,Microsoft PowerApps Plan 2 Trial
617b097b-4b93-4ede-83de-5f075bb5fb2f,PREMIUM_ENCRYPTION,Premium Encryption in Office 365
fafd7243-e5c1-4a3a-9e40-495efcb1d3c3,PROJECT_CLIENT_SUBSCRIPTION,PROJECT_CLIENT_SUBSCRIPTION
1259157c-8581-4875-bca7-2ffb18c51bda,PROJECT_ESSENTIALS,PROJECT ONLINE ESSENTIALS
6a4a1628-9b9a-424d-bed5-4118f0ede3fd,PROJECT_MADEIRA_PREVIEW_IW_SKU,Dynamics 365 Business Central for IWs
a10d5e58-74da-4312-95c8-76be4e5b75a0,PROJECTCLIENT,PROJECT FOR OFFICE 365
776df282-9fc0-4862-99e2-70e561b9909e,PROJECTESSENTIALS,PROJECT ONLINE ESSENTIALS
2db84718-652c-47a7-860c-f10d8abbdae3,PROJECTONLINE_PLAN_1,PROJECT ONLINE PREMIUM WITHOUT PROJECT CLIENT
f82a60b8-1ee3-4cfb-a4fe-1c6a53c2656c,PROJECTONLINE_PLAN_2,PROJECT ONLINE WITH PROJECT FOR OFFICE 365
09015f9f-377f-4538-bbb5-f75ceb09358a,PROJECTPREMIUM,PROJECT ONLINE PREMIUM
53818b1b-4a27-454b-8896-0dba576410e6,PROJECTPROFESSIONAL,PROJECT ONLINE PROFESSIONAL
,PROJECTWORKMANAGEMENT,Office 365 Planner Preview
c52ea49f-fe5d-4e95-93ba-1de91d380f89,RIGHTSMANAGEMENT,AZURE INFORMATION PROTECTION PLAN 1
8c4ce438-32a7-4ac5-91a6-e22ae08d9c8b,RIGHTSMANAGEMENT_ADHOC,Windows Azure Rights Management Adhoc
,RMS_S_ENTERPRISE,Azure Active Directory Rights Management
,RMS_S_ENTERPRISE_GOV,Windows Azure Active Directory Rights Management
6c57d4b6-3b23-47a5-9bc9-69f17b4947b3,RMS_S_PREMIUM,MICROSOFT AZURE ACTIVE DIRECTORY RIGHTS
5689bec4-755d-4753-8b61-40975025187c,RMS_S_PREMIUM2,AZURE INFORMATION PROTECTION PREMIUM P2
